endpoint,p,r,g,u_A,u_B,scenario,total_expected_cost_ceiling
report_hypothetical,0.6,0.8,0.6,0.42,0.62,differential,193.8835200000001
report_hypothetical,0.6,0.8,1,0.42,0.42,equal,120.0
report_hypothetical,0.6,0.8,1,0.42,0.62,differential,-25.440000000000055
report_hypothetical,0.6,0.8,0,0.43,0.43,equal,745.392
report_hypothetical,0.6,0.8,0,0.43,0.63,differential,535.2312000000002
report_hypothetical,0.6,0.8,0.3,0.43,0.43,equal,557.7744
report_hypothetical,0.6,0.8,0.3,0.43,0.63,differential,367.02984000000015
report_hypothetical,0.6,0.8,0.6,0.43,0.43,equal,370.15679999999975
report_hypothetical,0.6,0.8,0.6,0.43,0.63,differential,198.8284799999999
report_hypothetical,0.6,0.8,1,0.43,0.43,equal,120.0
report_hypothetical,0.6,0.8,1,0.43,0.63,differential,-25.440000000000055
report_hypothetical,0.6,0.8,0,0.44,0.44,equal,759.936
report_hypothetical,0.6,0.8,0,0.44,0.64,differential,547.5936
report_hypothetical,0.6,0.8,0.3,0.44,0.44,equal,567.9552
report_hypothetical,0.6,0.8,0.3,0.44,0.64,differential,375.68352000000004
report_hypothetical,0.6,0.8,0.6,0.44,0.44,equal,375.97440000000006
report_hypothetical,0.6,0.8,0.6,0.44,0.64,differential,203.77343999999994
report_hypothetical,0.6,0.8,1,0.44,0.44,equal,120.0
report_hypothetical,0.6,0.8,1,0.44,0.64,differential,-25.440000000000055
report_hypothetical,0.6,0.8,0,0.45,0.45,equal,774.48
report_hypothetical,0.6,0.8,0,0.45,0.65,differential,559.9559999999999
report_hypothetical,0.6,0.8,0.3,0.45,0.45,equal,578.1360000000001
report_hypothetical,0.6,0.8,0.3,0.45,0.65,differential,384.33719999999994
report_hypothetical,0.6,0.8,0.6,0.45,0.45,equal,381.79200000000014
report_hypothetical,0.6,0.8,0.6,0.45,0.65,differential,208.7184000000002
